# Approximates mean and Reynolds stress values for fully-developed
# turbulent velocity profile using the DNS data of Moser, Kim &
# Mansour ("DNS of Turbulent Channel Flow up to Re_tau = 590,"
# Physics of Fluids, 11: 943-945, 1999).
y/delta, \bar{U}/utau
 0.00000000E+00,  0.00000000E+00
 3.90624994E-03,  2.28389280E+00
 7.81250004E-03,  4.46352230E+00
 1.17187500E-02,  6.38696340E+00
 1.56250001E-02,  7.97387840E+00
 1.95312505E-02,  9.23688100E+00
 2.34375006E-02,  1.02316640E+01
 2.73437507E-02,  1.10192530E+01
 3.12500009E-02,  1.16499270E+01
 3.51562493E-02,  1.21630990E+01
 3.90624994E-02,  1.25864630E+01
 4.29687495E-02,  1.29424080E+01
 4.68749996E-02,  1.32461090E+01
 5.07812497E-02,  1.35084550E+01
 5.46874998E-02,  1.37383450E+01
 5.85937499E-02,  1.39417630E+01
 6.25000000E-02,  1.41238740E+01
 6.64062501E-02,  1.42889700E+01
 7.03125002E-02,  1.44391380E+01
 7.42187503E-02,  1.45767900E+01
 7.81250004E-02,  1.47041230E+01
 8.20312505E-02,  1.48231120E+01
 8.59375006E-02,  1.49350520E+01
 8.98437507E-02,  1.50402500E+01
 9.37500009E-02,  1.51402460E+01
 9.76562493E-02,  1.52355440E+01
 1.01562499E-01,  1.53263710E+01
 1.05468749E-01,  1.54135100E+01
 1.09375000E-01,  1.54977140E+01
 1.13281250E-01,  1.55787870E+01
 1.17187500E-01,  1.56565800E+01
 1.21093750E-01,  1.57321880E+01
 1.25000000E-01,  1.58060360E+01
 1.28906250E-01,  1.58778830E+01
 1.32812500E-01,  1.59471780E+01
 1.36718750E-01,  1.60149690E+01
 1.40625000E-01,  1.60821710E+01
 1.44531251E-01,  1.61474090E+01
 1.48437501E-01,  1.62106660E+01
 1.52343751E-01,  1.62730000E+01
 1.56250001E-01,  1.63340670E+01
 1.60156249E-01,  1.63936010E+01
 1.64062499E-01,  1.64521870E+01
 1.67968749E-01,  1.65098110E+01
 1.71874998E-01,  1.65660350E+01
 1.75781246E-01,  1.66211890E+01
 1.79687495E-01,  1.66756470E+01
 1.83593743E-01,  1.67290090E+01
 1.87500009E-01,  1.67810880E+01
 1.91406257E-01,  1.68322920E+01
 1.95312505E-01,  1.68828740E+01
 1.99218754E-01,  1.69328500E+01
 2.03125002E-01,  1.69821080E+01
 2.07031251E-01,  1.70305000E+01
 2.10937499E-01,  1.70782860E+01
 2.14843747E-01,  1.71258500E+01
 2.18749996E-01,  1.71728770E+01
 2.22656244E-01,  1.72188680E+01
 2.26562493E-01,  1.72640180E+01
 2.30468758E-01,  1.73087030E+01
 2.34375006E-01,  1.73528900E+01
 2.38281255E-01,  1.73964300E+01
 2.42187503E-01,  1.74393240E+01
 2.46093752E-01,  1.74816500E+01
 2.50000000E-01,  1.75236360E+01
 2.53906248E-01,  1.75655100E+01
 2.57812497E-01,  1.76070270E+01
 2.61718745E-01,  1.76477490E+01
 2.65624994E-01,  1.76876610E+01
 2.69531242E-01,  1.77270000E+01
 2.73437507E-01,  1.77659790E+01
 2.77343756E-01,  1.78047780E+01
 2.81250004E-01,  1.78434030E+01
 2.85156253E-01,  1.78816370E+01
 2.89062501E-01,  1.79193510E+01
 2.92968749E-01,  1.79566200E+01
 2.96874998E-01,  1.79935330E+01
 3.00781246E-01,  1.80301450E+01
 3.04687495E-01,  1.80665090E+01
 3.08593743E-01,  1.81027120E+01
 3.12500009E-01,  1.81388540E+01
 3.16406257E-01,  1.81747940E+01
 3.20312505E-01,  1.82101720E+01
 3.24218754E-01,  1.82448550E+01
 3.28125002E-01,  1.82791850E+01
 3.32031251E-01,  1.83134820E+01
 3.35937499E-01,  1.83476410E+01
 3.39843747E-01,  1.83814360E+01
 3.43749996E-01,  1.84148620E+01
 3.47656244E-01,  1.84480960E+01
 3.51562493E-01,  1.84812240E+01
 3.55468758E-01,  1.85141220E+01
 3.59375006E-01,  1.85466660E+01
 3.63281255E-01,  1.85789060E+01
 3.67187503E-01,  1.86109710E+01
 3.71093752E-01,  1.86429400E+01
 3.75000000E-01,  1.86748370E+01
 3.78906248E-01,  1.87066560E+01
 3.82812497E-01,  1.87382960E+01
 3.86718745E-01,  1.87696290E+01
 3.90624994E-01,  1.88006220E+01
 3.94531242E-01,  1.88313310E+01
 3.98437507E-01,  1.88617990E+01
 4.02343756E-01,  1.88920010E+01
 4.06250004E-01,  1.89218950E+01
 4.10156253E-01,  1.89515000E+01
 4.14062501E-01,  1.89808930E+01
 4.17968749E-01,  1.90101180E+01
 4.21874998E-01,  1.90390550E+01
 4.25781246E-01,  1.90675440E+01
 4.29687495E-01,  1.90955530E+01
 4.33593743E-01,  1.91232220E+01
 4.37500009E-01,  1.91506820E+01
 4.41406257E-01,  1.91779610E+01
 4.45312505E-01,  1.92050380E+01
 4.49218754E-01,  1.92318960E+01
 4.53125002E-01,  1.92585150E+01
 4.57031251E-01,  1.92848780E+01
 4.60937499E-01,  1.93109930E+01
 4.64843747E-01,  1.93368930E+01
 4.68749996E-01,  1.93626010E+01
 4.72656244E-01,  1.93881070E+01
 4.76562493E-01,  1.94133920E+01
 4.80468758E-01,  1.94384520E+01
 4.84375006E-01,  1.94633030E+01
 4.88281255E-01,  1.94879650E+01
 4.92187503E-01,  1.95124350E+01
 4.96093752E-01,  1.95366980E+01
 5.00000000E-01,  1.95607420E+01
 5.03906248E-01,  1.95845820E+01
 5.07812497E-01,  1.96082420E+01
 5.11718745E-01,  1.96317280E+01
 5.15624994E-01,  1.96550090E+01
 5.19531242E-01,  1.96780500E+01
 5.23437507E-01,  1.97008920E+01
 5.27343756E-01,  1.97236590E+01
 5.31250004E-01,  1.97464650E+01
 5.35156253E-01,  1.97692170E+01
 5.39062501E-01,  1.97916940E+01
 5.42968749E-01,  1.98137280E+01
 5.46874998E-01,  1.98354540E+01
 5.50781246E-01,  1.98571110E+01
 5.54687495E-01,  1.98788520E+01
