y/delta, \bar{U}/utau
0.000000000e+00,0.000000000e+00
4.065040650e-03,2.176977275e+00
8.130081301e-03,4.323223764e+00
1.219512195e-02,6.148341299e+00
1.626016260e-02,7.654301180e+00
2.032520325e-02,8.862039830e+00
2.439024390e-02,9.798659770e+00
2.845528455e-02,1.039149714e+01
3.252032520e-02,1.099967806e+01
3.658536585e-02,1.159030604e+01
4.065040650e-02,1.204557896e+01
4.471544715e-02,1.239560528e+01
4.878048780e-02,1.267560044e+01
5.284552846e-02,1.291304953e+01
5.691056911e-02,1.312757719e+01
6.097560976e-02,1.332349439e+01
6.504065041e-02,1.350330836e+01
6.910569106e-02,1.366946146e+01
7.317073171e-02,1.382361480e+01
7.723577236e-02,1.396691228e+01
8.130081301e-02,1.410048858e+01
8.536585366e-02,1.422547837e+01
8.943089431e-02,1.434301634e+01
9.349593496e-02,1.445423716e+01
9.756097561e-02,1.456027550e+01
1.016260163e-01,1.466225145e+01
1.056910569e-01,1.476083933e+01
1.097560976e-01,1.485619636e+01
1.138211382e-01,1.494845085e+01
1.178861789e-01,1.503773108e+01
1.219512195e-01,1.512416534e+01
1.260162602e-01,1.520788192e+01
1.300813008e-01,1.528900910e+01
1.341463415e-01,1.536767517e+01
1.382113821e-01,1.544400842e+01
1.422764228e-01,1.551813714e+01
1.463414634e-01,1.559018961e+01
1.504065041e-01,1.566029413e+01
1.544715447e-01,1.572857898e+01
1.585365854e-01,1.579517245e+01
1.626016260e-01,1.586020282e+01
1.666666667e-01,1.592379764e+01
1.707317073e-01,1.598604688e+01
1.747967480e-01,1.604698649e+01
1.788617886e-01,1.610664820e+01
1.829268293e-01,1.616506377e+01
1.869918699e-01,1.622226492e+01
1.910569106e-01,1.627828339e+01
1.951219512e-01,1.633315093e+01
1.991869919e-01,1.638689928e+01
2.032520325e-01,1.643956016e+01
2.073170732e-01,1.649116534e+01
2.113821138e-01,1.654174653e+01
2.154471545e-01,1.659133549e+01
2.195121951e-01,1.663996395e+01
2.235772358e-01,1.668766366e+01
2.276422764e-01,1.673446634e+01
2.317073171e-01,1.678040375e+01
2.357723577e-01,1.682550762e+01
2.398373984e-01,1.686980968e+01
2.439024390e-01,1.691334169e+01
2.479674797e-01,1.695613538e+01
2.520325203e-01,1.699822248e+01
2.560975610e-01,1.703963475e+01
2.601626016e-01,1.708040391e+01
2.642276423e-01,1.712056171e+01
2.682926829e-01,1.716013988e+01
2.723577236e-01,1.719917018e+01
2.764227642e-01,1.723768433e+01
2.804878049e-01,1.727571407e+01
2.845528455e-01,1.731329115e+01
2.886178862e-01,1.735044768e+01
2.926829268e-01,1.738722205e+01
2.967479675e-01,1.742365796e+01
3.008130081e-01,1.745979923e+01
3.048780488e-01,1.749568971e+01
3.089430894e-01,1.753137325e+01
3.130081301e-01,1.756689367e+01
3.170731707e-01,1.760229482e+01
3.211382114e-01,1.763762054e+01
3.252032520e-01,1.767291467e+01
3.292682927e-01,1.770822106e+01
3.333333333e-01,1.774358353e+01
3.373983740e-01,1.777904593e+01
3.414634146e-01,1.781465210e+01
3.455284553e-01,1.785044588e+01
3.495934959e-01,1.788647112e+01
3.536585366e-01,1.792276781e+01
3.577235772e-01,1.795933098e+01
3.617886179e-01,1.799612639e+01
3.658536585e-01,1.803311934e+01
3.699186992e-01,1.807027509e+01
3.739837398e-01,1.810755893e+01
3.780487805e-01,1.814493613e+01
3.821138211e-01,1.818237197e+01
3.861788618e-01,1.821983172e+01
3.902439024e-01,1.825728068e+01
3.943089431e-01,1.829468410e+01
3.983739837e-01,1.833200728e+01
4.024390244e-01,1.836921549e+01
4.065040650e-01,1.840627401e+01
4.105691057e-01,1.844314811e+01
4.146341463e-01,1.847980307e+01
4.186991870e-01,1.851620418e+01
4.227642276e-01,1.855231671e+01
4.268292683e-01,1.858810593e+01
4.308943089e-01,1.862353713e+01
4.349593496e-01,1.865857842e+01
4.390243902e-01,1.869322527e+01
4.430894309e-01,1.872748836e+01
4.471544715e-01,1.876137853e+01
4.512195122e-01,1.879490666e+01
4.552845528e-01,1.882808359e+01
4.593495935e-01,1.886092018e+01
4.634146341e-01,1.889342729e+01
4.674796748e-01,1.892561576e+01
4.715447154e-01,1.895749646e+01
4.756097561e-01,1.898908024e+01
4.796747967e-01,1.902037795e+01
4.837398374e-01,1.905140046e+01
4.878048780e-01,1.908215860e+01
4.918699187e-01,1.911266325e+01
4.959349593e-01,1.914292525e+01
5.000000000e-01,1.917295547e+01
5.040650407e-01,1.920276474e+01
5.081300813e-01,1.923236394e+01
5.121951220e-01,1.926176391e+01
5.162601626e-01,1.929097551e+01
5.203252033e-01,1.932000960e+01
5.243902439e-01,1.934887703e+01
5.284552846e-01,1.937758865e+01
5.325203252e-01,1.940615533e+01
5.365853659e-01,1.943458791e+01
5.406504065e-01,1.946289725e+01
5.447154472e-01,1.949109421e+01
5.487804878e-01,1.951918963e+01
5.528455285e-01,1.954719439e+01
5.569105691e-01,1.957511932e+01
5.609756098e-01,1.960297529e+01
5.650406504e-01,1.963077315e+01
5.691056911e-01,1.965852376e+01
5.731707317e-01,1.968623797e+01
5.772357724e-01,1.971392664e+01
5.813008130e-01,1.974160042e+01
5.853658537e-01,1.976926309e+01
5.894308943e-01,1.979690969e+01
5.934959350e-01,1.982453469e+01
5.975609756e-01,1.985213258e+01
6.016260163e-01,1.987969785e+01
6.056910569e-01,1.990722498e+01
6.097560976e-01,1.993470845e+01
6.138211382e-01,1.996214276e+01
6.178861789e-01,1.998952237e+01
6.219512195e-01,2.001684178e+01
6.260162602e-01,2.004409547e+01
6.300813008e-01,2.007127792e+01
6.341463415e-01,2.009838362e+01
6.382113821e-01,2.012540705e+01
6.422764228e-01,2.015234270e+01
6.463414634e-01,2.017918505e+01
6.504065041e-01,2.020592858e+01
6.544715447e-01,2.023256778e+01
6.585365854e-01,2.025909713e+01
6.626016260e-01,2.028551112e+01
6.666666667e-01,2.031180422e+01
6.707317073e-01,2.033797093e+01
6.747967480e-01,2.036400573e+01
6.788617886e-01,2.038990310e+01
6.829268293e-01,2.041565752e+01
6.869918699e-01,2.044126349e+01
6.910569106e-01,2.046671548e+01
6.951219512e-01,2.049200797e+01
6.991869919e-01,2.051713546e+01
7.032520325e-01,2.054209242e+01
7.073170732e-01,2.056687334e+01
7.113821138e-01,2.059147271e+01
7.154471545e-01,2.061588500e+01
7.195121951e-01,2.064010470e+01
7.235772358e-01,2.066412630e+01
7.276422764e-01,2.068794428e+01
7.317073171e-01,2.071155316e+01
7.357723577e-01,2.073494911e+01
7.398373984e-01,2.075813063e+01
7.439024390e-01,2.078109639e+01
7.479674797e-01,2.080384507e+01
7.520325203e-01,2.082637535e+01
7.560975610e-01,2.084868590e+01
7.601626016e-01,2.087077539e+01
7.642276423e-01,2.089264251e+01
7.682926829e-01,2.091428592e+01
7.723577236e-01,2.093570430e+01
7.764227642e-01,2.095689632e+01
7.804878049e-01,2.097786066e+01
7.845528455e-01,2.099859600e+01
7.886178862e-01,2.101910101e+01
7.926829268e-01,2.103937437e+01
7.967479675e-01,2.105941474e+01
8.008130081e-01,2.107922081e+01
8.048780488e-01,2.109879125e+01
8.089430894e-01,2.111812473e+01
8.130081301e-01,2.113721994e+01
8.170731707e-01,2.115607554e+01
8.211382114e-01,2.117469021e+01
8.252032520e-01,2.119306262e+01
8.292682927e-01,2.121119146e+01
8.333333333e-01,2.122907538e+01
8.373983740e-01,2.124671308e+01
8.414634146e-01,2.126410323e+01
8.455284553e-01,2.128124449e+01
8.495934959e-01,2.129813555e+01
8.536585366e-01,2.131477508e+01
8.577235772e-01,2.133116175e+01
8.617886179e-01,2.134729424e+01
8.658536585e-01,2.136317123e+01
8.699186992e-01,2.137879139e+01
8.739837398e-01,2.139415339e+01
8.780487805e-01,2.140925591e+01
8.821138211e-01,2.142409763e+01
8.861788618e-01,2.143867722e+01
8.902439024e-01,2.145299335e+01
8.943089431e-01,2.146704470e+01
8.983739837e-01,2.148082994e+01
9.024390244e-01,2.149434776e+01
9.065040650e-01,2.150759682e+01
9.105691057e-01,2.152057580e+01
9.146341463e-01,2.153328337e+01
9.186991870e-01,2.154571822e+01
9.227642276e-01,2.155787901e+01
9.268292683e-01,2.156976442e+01
9.308943089e-01,2.158137359e+01
9.349593496e-01,2.159270914e+01
9.390243902e-01,2.160377522e+01
9.430894309e-01,2.161457599e+01
9.471544715e-01,2.162511562e+01
9.512195122e-01,2.163539826e+01
9.552845528e-01,2.164542809e+01
9.593495935e-01,2.165520926e+01
9.634146341e-01,2.166474594e+01
9.674796748e-01,2.167404229e+01
9.715447154e-01,2.168310246e+01
9.756097561e-01,2.169193064e+01
9.796747967e-01,2.170053097e+01
9.837398374e-01,2.170890762e+01
9.878048780e-01,2.171706476e+01
9.918699187e-01,2.172500654e+01
9.959349593e-01,2.173273713e+01
1.000000000e+00,2.174026069e+01
