# Approximates mean and Reynolds stress values for fully-developed
# turbulent velocity profile using the DNS data of Moser, Kim &
# Mansour ("DNS of Turbulent Channel Flow up to Re_tau = 590,"
# Physics of Fluids, 11: 943-945, 1999).
y+,             \bar{U}/utau
0.00000000E+00, 0.00000000E+00
0.22937109E+01, 2.28389280E+00
0.45874219E+01, 4.46352230E+00
0.68811328E+01, 6.38696340E+00
0.91748438E+01, 7.97387840E+00
0.11468555E+02, 9.23688100E+00
0.13762266E+02, 1.02316640E+01
0.16055977E+02, 1.10192530E+01
0.18349688E+02, 1.16499270E+01
0.20643398E+02, 1.21630990E+01
0.22937109E+02, 1.25864630E+01
0.25230820E+02, 1.29424080E+01
0.27524531E+02, 1.32461090E+01
0.29818242E+02, 1.35084550E+01
0.32111953E+02, 1.37383450E+01
0.34405664E+02, 1.39417630E+01
0.36699375E+02, 1.41238740E+01
0.38993086E+02, 1.42889700E+01
0.41286797E+02, 1.44391380E+01
0.43580508E+02, 1.45767900E+01
0.45874219E+02, 1.47041230E+01
0.48167930E+02, 1.48231120E+01
0.50461641E+02, 1.49350520E+01
0.52755352E+02, 1.50402500E+01
0.55049063E+02, 1.51402460E+01
0.57342773E+02, 1.52355440E+01
0.59636484E+02, 1.53263710E+01
0.61930195E+02, 1.54135100E+01
0.64223906E+02, 1.54977140E+01
0.66517617E+02, 1.55787870E+01
0.68811328E+02, 1.56565800E+01
0.71105039E+02, 1.57321880E+01
0.73398750E+02, 1.58060360E+01
0.75692461E+02, 1.58778830E+01
0.77986172E+02, 1.59471780E+01
0.80279883E+02, 1.60149690E+01
0.82573594E+02, 1.60821710E+01
0.84867305E+02, 1.61474090E+01
0.87161016E+02, 1.62106660E+01
0.89454727E+02, 1.62730000E+01
0.91748438E+02, 1.63340670E+01
0.94042148E+02, 1.63936010E+01
0.96335859E+02, 1.64521870E+01
0.98629570E+02, 1.65098110E+01
0.10092328E+03, 1.65660350E+01
0.10321699E+03, 1.66211890E+01
0.10551070E+03, 1.66756470E+01
0.10780441E+03, 1.67290090E+01
0.11009813E+03, 1.67810880E+01
0.11239184E+03, 1.68322920E+01
0.11468555E+03, 1.68828740E+01
0.11697926E+03, 1.69328500E+01
0.11927297E+03, 1.69821080E+01
0.12156668E+03, 1.70305000E+01
0.12386039E+03, 1.70782860E+01
0.12615410E+03, 1.71258500E+01
0.12844781E+03, 1.71728770E+01
0.13074152E+03, 1.72188680E+01
0.13303523E+03, 1.72640180E+01
0.13532895E+03, 1.73087030E+01
0.13762266E+03, 1.73528900E+01
0.13991637E+03, 1.73964300E+01
0.14221008E+03, 1.74393240E+01
0.14450379E+03, 1.74816500E+01
0.14679750E+03, 1.75236360E+01
0.14909121E+03, 1.75655100E+01
0.15138492E+03, 1.76070270E+01
0.15367863E+03, 1.76477490E+01
0.15597234E+03, 1.76876610E+01
0.15826605E+03, 1.77270000E+01
0.16055977E+03, 1.77659790E+01
0.16285348E+03, 1.78047780E+01
0.16514719E+03, 1.78434030E+01
0.16744090E+03, 1.78816370E+01
0.16973461E+03, 1.79193510E+01
0.17202832E+03, 1.79566200E+01
0.17432203E+03, 1.79935330E+01
0.17661574E+03, 1.80301450E+01
0.17890945E+03, 1.80665090E+01
0.18120316E+03, 1.81027120E+01
0.18349688E+03, 1.81388540E+01
0.18579059E+03, 1.81747940E+01
0.18808430E+03, 1.82101720E+01
0.19037801E+03, 1.82448550E+01
0.19267172E+03, 1.82791850E+01
0.19496543E+03, 1.83134820E+01
0.19725914E+03, 1.83476410E+01
0.19955285E+03, 1.83814360E+01
0.20184656E+03, 1.84148620E+01
0.20414027E+03, 1.84480960E+01
0.20643398E+03, 1.84812240E+01
0.20872770E+03, 1.85141220E+01
0.21102141E+03, 1.85466660E+01
0.21331512E+03, 1.85789060E+01
0.21560883E+03, 1.86109710E+01
0.21790254E+03, 1.86429400E+01
0.22019625E+03, 1.86748370E+01
0.22248996E+03, 1.87066560E+01
0.22478367E+03, 1.87382960E+01
0.22707738E+03, 1.87696290E+01
0.22937109E+03, 1.88006220E+01
0.23166480E+03, 1.88313310E+01
0.23395852E+03, 1.88617990E+01
0.23625223E+03, 1.88920010E+01
0.23854594E+03, 1.89218950E+01
0.24083965E+03, 1.89515000E+01
0.24313336E+03, 1.89808930E+01
0.24542707E+03, 1.90101180E+01
0.24772078E+03, 1.90390550E+01
0.25001449E+03, 1.90675440E+01
0.25230820E+03, 1.90955530E+01
0.25460191E+03, 1.91232220E+01
0.25689563E+03, 1.91506820E+01
0.25918934E+03, 1.91779610E+01
0.26148305E+03, 1.92050380E+01
0.26377676E+03, 1.92318960E+01
0.26607047E+03, 1.92585150E+01
0.26836418E+03, 1.92848780E+01
0.27065789E+03, 1.93109930E+01
0.27295160E+03, 1.93368930E+01
0.27524531E+03, 1.93626010E+01
0.27753902E+03, 1.93881070E+01
0.27983273E+03, 1.94133920E+01
0.28212645E+03, 1.94384520E+01
0.28442016E+03, 1.94633030E+01
0.28671387E+03, 1.94879650E+01
0.28900758E+03, 1.95124350E+01
0.29130129E+03, 1.95366980E+01
0.29359500E+03, 1.95607420E+01
0.29588871E+03, 1.95845820E+01
0.29818242E+03, 1.96082420E+01
0.30047613E+03, 1.96317280E+01
0.30276984E+03, 1.96550090E+01
0.30506355E+03, 1.96780500E+01
0.30735727E+03, 1.97008920E+01
0.30965098E+03, 1.97236590E+01
0.31194469E+03, 1.97464650E+01
0.31423840E+03, 1.97692170E+01
0.31653211E+03, 1.97916940E+01
0.31882582E+03, 1.98137280E+01
0.32111953E+03, 1.98354540E+01
0.32341324E+03, 1.98571110E+01
0.32570695E+03, 1.98788520E+01
0.32800066E+03, 1.99005720E+01
0.33029438E+03, 1.99221230E+01
0.33258809E+03, 1.99434210E+01
0.33488180E+03, 1.99645060E+01
0.33717551E+03, 1.99854280E+01
