y/delta, Ruu/utau^2, Rvv/utau^2, Rww/utau^2, Ruv/utau^2, Ruw/utau^2, Rvw/utau^2
0.000000000e+00,1.000000000e-06,1.000000000e-06,1.000000000e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00
4.065040650e-03,8.468907041e-01,1.000000000e-06,2.452015184e-01, 0.0, 0.0, 0.0
8.130081301e-03,2.817756555e+00,1.000000000e-06,6.142530749e-01, 0.0, 0.0, 0.0
1.219512195e-02,4.666321806e+00,3.121979722e-02,9.728178329e-01,-2.874915711e-01,-3.128502566e-03,8.887283255e-06
1.626016260e-02,6.025848574e+00,8.887858835e-02,1.229328250e+00,-4.318061549e-01,-5.427902346e-03,1.611453832e-04
2.032520325e-02,6.751589867e+00,1.620193612e-01,1.417421458e+00,-5.717499915e-01,-6.296066102e-03,3.948042277e-04
2.439024390e-02,7.055966212e+00,2.535543532e-01,1.588848596e+00,-6.870866215e-01,-4.805161402e-03,6.123344715e-04
2.845528455e-02,7.099247012e+00,3.462406515e-01,1.725297278e+00,-7.563318224e-01,-1.139702200e-03,7.878838783e-04
3.252032520e-02,6.988462547e+00,4.252817954e-01,1.809711467e+00,-8.160860703e-01,3.555866413e-03,9.192820541e-04
3.658536585e-02,6.795997810e+00,4.875842027e-01,1.869097989e+00,-8.550092395e-01,8.276516406e-03,1.001064668e-03
4.065040650e-02,6.563589293e+00,5.498751872e-01,1.929471199e+00,-8.811462795e-01,1.278341472e-02,1.013776988e-03
4.471544715e-02,6.331518234e+00,6.152843128e-01,1.971598388e+00,-9.041778492e-01,1.692364013e-02,9.553757313e-04
4.878048780e-02,6.115319924e+00,6.649138506e-01,1.994564711e+00,-9.209905290e-01,2.026514479e-02,8.719452393e-04
5.284552846e-02,5.903945337e+00,7.037671779e-01,2.009634458e+00,-9.347115359e-01,2.251983020e-02,8.106245308e-04
5.691056911e-02,5.705916947e+00,7.530556478e-01,2.018465519e+00,-9.497966764e-01,2.372950545e-02,7.813280949e-04
6.097560976e-02,5.527079588e+00,8.033661291e-01,2.026680483e+00,-9.696880841e-01,2.411518223e-02,7.663965393e-04
6.504065041e-02,5.351344406e+00,8.377789063e-01,2.038420320e+00,-9.908122394e-01,2.398502656e-02,7.549496561e-04
6.910569106e-02,5.180658264e+00,8.648549711e-01,2.037478232e+00,-1.007528865e+00,2.360404717e-02,7.601531303e-04
7.317073171e-02,5.031746431e+00,8.935942151e-01,2.033372325e+00,-1.016677345e+00,2.317055757e-02,7.999871501e-04
7.723577236e-02,4.915691910e+00,9.242154868e-01,2.037404485e+00,-1.019921491e+00,2.277308238e-02,8.648549340e-04
8.130081301e-02,4.803562893e+00,9.559705471e-01,2.029396517e+00,-1.022971221e+00,2.238643945e-02,9.246229758e-04
