# Approximates mean and Reynolds stress values for fully-developed
# turbulent velocity profile using the DNS data of Moser, Kim &
# Mansour ("DNS of Turbulent Channel Flow up to Re_tau = 590,"
# Physics of Fluids, 11: 943-945, 1999).
y/delta, \bar{U}/utau, Ruu/utau^2, Rvv/utau^2, Rww/utau^2, Ruv/utau^2, Ruw/utau^2, Rvw/utau^2
 0.00000000E+00,  0.00000000E+00,  7.80030000E-28,  5.41790000E-29,  8.52920000E-28, -3.41100000E-32, -2.06140000E-30, -1.25210000E-31,
 3.90624994E-03,  2.28389280E+00,  8.27057390E-01,  1.98715220E-03,  2.10590670E-01, -1.28274220E-02, -8.93094110E-04, -9.74726500E-06,
 7.81250004E-03,  4.46352230E+00,  2.88787230E+00,  1.76636390E-02,  5.32771670E-01, -8.83783870E-02, -2.84202200E-03,  3.88983990E-07,
 1.17187500E-02,  6.38696340E+00,  5.05444440E+00,  5.33474960E-02,  8.12637900E-01, -2.21219940E-01, -5.12678420E-03,  1.29209460E-04,
 1.56250001E-02,  7.97387840E+00,  6.57450150E+00,  1.06822980E-01,  1.04198390E+00, -3.66015820E-01, -6.29811100E-03,  3.48574960E-04,
 1.95312505E-02,  9.23688100E+00,  7.38224970E+00,  1.73276070E-01,  1.23050190E+00, -4.92497610E-01, -5.37856560E-03,  5.64827650E-04,
 2.34375006E-02,  1.02316640E+01,  7.67716210E+00,  2.47638710E-01,  1.38435170E+00, -5.92025830E-01, -2.30096490E-03,  7.44310180E-04,
 2.73437507E-02,  1.10192530E+01,  7.66005810E+00,  3.25400980E-01,  1.50770570E+00, -6.66745420E-01,  2.05908230E-03,  8.82907300E-04,
 3.12500009E-02,  1.16499270E+01,  7.47076450E+00,  4.03051040E-01,  1.60521650E+00, -7.21839180E-01,  6.63900860E-03,  9.79024730E-04,
 3.51562493E-02,  1.21630990E+01,  7.19591430E+00,  4.77998230E-01,  1.68108540E+00, -7.62200920E-01,  1.10498120E-02,  1.01834500E-03,
 3.90624994E-02,  1.25864630E+01,  6.88599390E+00,  5.48661930E-01,  1.73949760E+00, -7.91746660E-01,  1.52127800E-02,  9.87359670E-04,
 4.29687495E-02,  1.29424080E+01,  6.56917570E+00,  6.14108990E-01,  1.78410200E+00, -8.13383590E-01,  1.88292220E-02,  9.09959230E-04,
 4.68749996E-02,  1.32461090E+01,  6.26243230E+00,  6.73866740E-01,  1.81807210E+00, -8.29264140E-01,  2.15119950E-02,  8.37732000E-04,
 5.07812497E-02,  1.35084550E+01,  5.97463980E+00,  7.27849820E-01,  1.84344250E+00, -8.40926000E-01,  2.31893940E-02,  7.93709510E-04,
 5.46874998E-02,  1.37383450E+01,  5.70897640E+00,  7.76273450E-01,  1.86209350E+00, -8.49450660E-01,  2.39711070E-02,  7.74950800E-04,
 5.85937499E-02,  1.39417630E+01,  5.46645550E+00,  8.19421660E-01,  1.87496630E+00, -8.55549730E-01,  2.41110960E-02,  7.61292880E-04,
 6.25000000E-02,  1.41238740E+01,  5.24622110E+00,  8.57643440E-01,  1.88305740E+00, -8.59760590E-01,  2.38735630E-02,  7.53892390E-04,
 6.64062501E-02,  1.42889700E+01,  5.04715930E+00,  8.91318560E-01,  1.88710070E+00, -8.62489750E-01,  2.34740440E-02,  7.67896200E-04,
 7.03125002E-02,  1.44391380E+01,  4.86746180E+00,  9.20826490E-01,  1.88768970E+00, -8.64059700E-01,  2.30637970E-02,  8.15433740E-04,
 7.42187503E-02,  1.45767900E+01,  4.70518400E+00,  9.46592970E-01,  1.88556300E+00, -8.64676690E-01,  2.26900360E-02,  8.79347670E-04,
 7.81250004E-02,  1.47041230E+01,  4.55820840E+00,  9.69007770E-01,  1.88120810E+00, -8.64463070E-01,  2.23113660E-02,  9.33128450E-04,
 8.20312505E-02,  1.48231120E+01,  4.42469880E+00,  9.88431550E-01,  1.87503110E+00, -8.63549450E-01,  2.18301750E-02,  9.66014870E-04,
 8.59375006E-02,  1.49350520E+01,  4.30326800E+00,  1.00518000E+00,  1.86738950E+00, -8.62087060E-01,  2.11055280E-02,  9.89195650E-04,
 8.98437507E-02,  1.50402500E+01,  4.19263830E+00,  1.01951280E+00,  1.85848600E+00, -8.60201160E-01,  2.00129950E-02,  1.01614330E-03,
 9.37500009E-02,  1.51402460E+01,  4.09160870E+00,  1.03177100E+00,  1.84887690E+00, -8.58003320E-01,  1.86099330E-02,  1.02212210E-03,
 9.76562493E-02,  1.52355440E+01,  3.99916450E+00,  1.04214540E+00,  1.83880630E+00, -8.55598900E-01,  1.70155310E-02,  9.86624050E-04,
 1.01562499E-01,  1.53263710E+01,  3.91449640E+00,  1.05077490E+00,  1.82836160E+00, -8.53075530E-01,  1.53447330E-02,  9.05409700E-04,
 1.05468749E-01,  1.54135100E+01,  3.83695990E+00,  1.05784710E+00,  1.81765060E+00, -8.50496940E-01,  1.37011720E-02,  7.89102930E-04,
 1.09375000E-01,  1.54977140E+01,  3.76598950E+00,  1.06355270E+00,  1.80662580E+00, -8.47906580E-01,  1.22098330E-02,  6.58943020E-04,
 1.13281250E-01,  1.55787870E+01,  3.70098070E+00,  1.06806440E+00,  1.79514290E+00, -8.45287100E-01,  1.09704070E-02,  5.29842970E-04,
 1.17187500E-01,  1.56565800E+01,  3.64126620E+00,  1.07153760E+00,  1.78311300E+00, -8.42584320E-01,  9.96747110E-03,  4.07724940E-04,
 1.21093750E-01,  1.57321880E+01,  3.58613250E+00,  1.07411500E+00,  1.77064490E+00, -8.39749370E-01,  9.00776760E-03,  2.91806160E-04,
 1.25000000E-01,  1.58060360E+01,  3.53495270E+00,  1.07592700E+00,  1.75789050E+00, -8.36771010E-01,  8.00524310E-03,  1.83638660E-04,
 1.28906250E-01,  1.58778830E+01,  3.48714990E+00,  1.07709170E+00,  1.74507430E+00, -8.33655270E-01,  7.02457320E-03,  7.48264310E-05,
 1.32812500E-01,  1.59471780E+01,  3.44218420E+00,  1.07770420E+00,  1.73250700E+00, -8.30409160E-01,  6.27553380E-03, -6.19073280E-05,
 1.36718750E-01,  1.60149690E+01,  3.39977540E+00,  1.07777010E+00,  1.72025060E+00, -8.27062210E-01,  5.84826160E-03, -2.36971200E-04,
 1.40625000E-01,  1.60821710E+01,  3.35977970E+00,  1.07727150E+00,  1.70826460E+00, -8.23647350E-01,  5.72355540E-03, -4.35077630E-04,
 1.44531251E-01,  1.61474090E+01,  3.32204940E+00,  1.07624630E+00,  1.69658730E+00, -8.20176780E-01,  5.79259340E-03, -6.04482610E-04,
 1.48437501E-01,  1.62106660E+01,  3.28634780E+00,  1.07478720E+00,  1.68519900E+00, -8.16649370E-01,  5.93953190E-03, -7.03585560E-04,
 1.52343751E-01,  1.62730000E+01,  3.25240960E+00,  1.07299840E+00,  1.67400640E+00, -8.13055590E-01,  6.07691460E-03, -7.14506850E-04,
 1.56250001E-01,  1.63340670E+01,  3.22017220E+00,  1.07085670E+00,  1.66284080E+00, -8.09386070E-01,  6.22729380E-03, -6.71291120E-04,
 1.60156249E-01,  1.63936010E+01,  3.18956620E+00,  1.06838420E+00,  1.65163170E+00, -8.05641590E-01,  6.40490040E-03, -6.06970420E-04,
 1.64062499E-01,  1.64521870E+01,  3.16040780E+00,  1.06573900E+00,  1.64051680E+00, -8.01840840E-01,  6.55106710E-03, -5.25250440E-04,
 1.67968749E-01,  1.65098110E+01,  3.13259680E+00,  1.06292650E+00,  1.62956450E+00, -7.98004400E-01,  6.59018260E-03, -4.17967650E-04,
 1.71874998E-01,  1.65660350E+01,  3.10610380E+00,  1.05984790E+00,  1.61875610E+00, -7.94152920E-01,  6.45948610E-03, -2.73766540E-04,
 1.75781246E-01,  1.66211890E+01,  3.08086370E+00,  1.05658810E+00,  1.60797760E+00, -7.90306950E-01,  6.22269420E-03, -1.05488920E-04,
 1.79687495E-01,  1.66756470E+01,  3.05680420E+00,  1.05326220E+00,  1.59714080E+00, -7.86487040E-01,  5.97275790E-03,  7.06261240E-05,
 1.83593743E-01,  1.67290090E+01,  3.03387370E+00,  1.04986010E+00,  1.58634310E+00, -7.82713620E-01,  5.74427990E-03,  2.56263660E-04,
 1.87500009E-01,  1.67810880E+01,  3.01195640E+00,  1.04636480E+00,  1.57573040E+00, -7.78989870E-01,  5.52837650E-03,  4.58714170E-04,
 1.91406257E-01,  1.68322920E+01,  2.99082440E+00,  1.04278930E+00,  1.56546670E+00, -7.75289670E-01,  5.26354850E-03,  6.88223790E-04,
 1.95312505E-01,  1.68828740E+01,  2.97029440E+00,  1.03917440E+00,  1.55558700E+00, -7.71577380E-01,  4.93997290E-03,  9.34469880E-04,
 1.99218754E-01,  1.69328500E+01,  2.95024660E+00,  1.03558440E+00,  1.54599080E+00, -7.67812680E-01,  4.60753180E-03,  1.16617490E-03,
 2.03125002E-01,  1.69821080E+01,  2.93062380E+00,  1.03203510E+00,  1.53663520E+00, -7.63989300E-01,  4.30642550E-03,  1.36943090E-03,
 2.07031251E-01,  1.70305000E+01,  2.91142380E+00,  1.02850430E+00,  1.52752060E+00, -7.60126670E-01,  4.06274250E-03,  1.54565520E-03,
 2.10937499E-01,  1.70782860E+01,  2.89274770E+00,  1.02495490E+00,  1.51861180E+00, -7.56248940E-01,  3.85790250E-03,  1.71309000E-03,
 2.14843747E-01,  1.71258500E+01,  2.87472150E+00,  1.02134790E+00,  1.50985730E+00, -7.52381520E-01,  3.66039430E-03,  1.89600310E-03,
 2.18749996E-01,  1.71728770E+01,  2.85726600E+00,  1.01768560E+00,  1.50122850E+00, -7.48542780E-01,  3.51474140E-03,  2.09896950E-03,
 2.22656244E-01,  1.72188680E+01,  2.84021910E+00,  1.01398240E+00,  1.49270290E+00, -7.44745400E-01,  3.49195570E-03,  2.31553860E-03,
 2.26562493E-01,  1.72640180E+01,  2.82345050E+00,  1.01022230E+00,  1.48423850E+00, -7.40985690E-01,  3.62685620E-03,  2.52386430E-03,
 2.30468758E-01,  1.73087030E+01,  2.80685570E+00,  1.00638230E+00,  1.47578590E+00, -7.37254110E-01,  3.93487140E-03,  2.69985530E-03,
 2.34375006E-01,  1.73528900E+01,  2.79040760E+00,  1.00246180E+00,  1.46729460E+00, -7.33541830E-01,  4.39790840E-03,  2.83857720E-03,
